Var1	Var2	value	Variation
ControlTP17	Pre_floweringTP9	0.661744276	CD
ControlTP2	Pre_floweringTP9	0.582303107	CD
ControlTP3	Pre_floweringTP9	0.53863238	CD
ControlTP4	Pre_floweringTP9	0.374765043	CD
ControlTP5	Pre_floweringTP9	0.299111879	CD
ControlTP6	Pre_floweringTP9	0.451838656	CD
ControlTP7	Pre_floweringTP9	0.464765945	CD
ControlTP8	Pre_floweringTP9	0.510463697	CD
ControlTP9	Pre_floweringTP9	0.541881078	CD
Pre_floweringTP10	Pre_floweringTP9	0.255151547	Drought
Pre_floweringTP11	Pre_floweringTP9	0.418649359	Drought
Pre_floweringTP12	Pre_floweringTP9	0.525392829	Drought
Pre_floweringTP13	Pre_floweringTP9	0.59915876	Drought
Pre_floweringTP14	Pre_floweringTP9	0.579057331	Drought
Pre_floweringTP15	Pre_floweringTP9	0.637557045	Drought
Pre_floweringTP16	Pre_floweringTP9	0.637175353	Drought
Pre_floweringTP17	Pre_floweringTP9	0.621407459	Drought
Pre_floweringTP3	Pre_floweringTP9	0.510404233	Drought
Pre_floweringTP4	Pre_floweringTP9	0.67763396	Drought
Pre_floweringTP5	Pre_floweringTP9	0.543217553	Drought
Pre_floweringTP6	Pre_floweringTP9	0.550926014	Drought
Pre_floweringTP7	Pre_floweringTP9	0.517426623	Drought
Pre_floweringTP8	Pre_floweringTP9	0.543236378	Drought
